1|3|false|iki|Ilija|Galin|20056|637458|iki@gmail.com|Milana Savica|05/01/2022 11:00|male
2|1|false|zakela|Aleksa|Zakic|457895|348972|zakela@gmail.com|Milana Savica|05/01/2022 11:00|male
3|2|false|stevica|Steva|Djubre|12354|225789|steva@gmail.com|Milana Savica|05/01/2022 11:00|male
4|4|false|djani|Djordje|Djanic|20056|637458|djani@gmail.com|Milana Savica|05/01/2022 11:00|male
6|6|false|iki1|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
7|6|false|iki2|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
8|6|false|iki3|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
9|6|false|iki4|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
10|6|false|iki5|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
11|0|False|user6|first|last|1801|645|mail|adr|01/01/2001 11:00|male
12|0|False|user7|first|last|1801|645|mail|adr|01/01/2001 11:00|male
13|0|False|ajde|pproradi|vec|56|63|boziji|covece|02/02/2002 11:00|male
14|0|True|guest1|dfg|kldas|4564|0|guest@gmail.com|guest|10/10/2000 11:00|female
15|0|True|guest2|fgd|asda|4577|0|guest@gmail.com|guest|10/10/2000 11:00|female
16|0|True|guest3|fhvg|jvg|766766|0|guest@gmail.com|guest|10/10/2000 11:00|female
17|0|False|kristi|Kristina|Jovanovic|123123|653918|kristina@gmail.com|Strazilovska 2|12/05/2000 00:00|male
18|5|False|mitar|Mitar|Petrovic|12313|123132|mitar@gmail.com|Zmaj Jovina 14|06/06/1995 00:00|male
19|7|False|milana|milana|galin|239829|659874|milana@gmail.com|Koste Abrasevica 2|11/05/1997 00:00|male
